Country,Province/State (if applicable),English name,FEATURES FOR REVERSE INDEX,Short Bilingual name ( Button Box name),Full Bilingual name,Japanese Title,Type,City (if applicable and lots of instances),Video file name (all mp4),Notes,Upload date,Source,
Austria,,Austria,Austria,Austria / L'Autriche,"Images, Austria / Images de l'Autriche",,Images,,AT - AUSTRIA IMAGES,,04/05/2022,David - Flickr Creative Commons,
Canada,Alberta,Banff,"Canada, Alberta, Banff, Rockies, Rocky Mountains, nature, trees, town, streets, bicycles, summer",Banff,"Banff, Alberta",,Walk,Banff,CA - AB - BANFF ALBERTA,,22/11/2023,Alyssa,
Canada,Alberta,Lake Louise,"Canada, Alberta, Lake Louise, Lake, mountains, Rockies, Rocky Mountains, nature, hike, trees, forests, summer",Lake Louise,"Lake Louise, Alberta",,Walk,,CA - AB - LAKE LOUISE,,22/11/2023,Alyssa,
Canada,Alberta,Moraine Lake,"Canada, Alberta, Moraine Lake, mountains, Rockies, Rocky Mountains, nature, hike, trees, forests, canoes, summer",Moraine Lake,"Moraine Lake, Alberta",,Walk,,CA - AB - MORAINE LAKE,,22/11/2023,Alyssa,
Canada,Alberta,Tunnel Mountain Trail,"Canada, Alberta, Tunnel Mountain, Rockies, Rocky Mountains, nature, trees, forest, trail, hike, summer",Tunnel Mountain Trail,"Tunnel Mountain Trail, Banff, Alberta",,Walk,,CA - AB - TUNNEL MOUNTAIN TRAIL,,22/11/2023,Alyssa,
Canada,All/Mixed,"Eastern Canada, Montreal & Toronto","Canada, Atlantic, Montreal, Toronto",Eastern Canada / L'Est du Canada,"Atlantic Canada, and also / et aussi, Montreal & Toronto",,Images,,CA - EASTERN CANADA IMAGES,,04/05/2022,Juhie sourced photos & video & Flickr Creative Commons,
Canada,All/Mixed,Hiking Trails,"Canada, Nature, Hiking trails",Trails / Sentiers,Hiking Trails / Sentiers de randonnée,,Images,,CA - HIKING TRAILS,,04/05/2022,Juhie's Brother's photos & Flickr Creative Commons,
Canada,BC,Granville Island,"Canada, B.C., Vancouver, Granville Island, Waterfront, pier, boardwalk, marina, boats, summer",Granville Island,"Granville Island, Vancouver, British Columbia / L'île Granville, Vancouver, la Colombie-Britannique",,Walk,Vancouver,CA - BC - GRANVILLE ISLAND,29,04/05/2022,Isaac,
Canada,BC,Stanley Park 1,"Canada, B.C., Vancouver, Stanley Park, walk, trail, bicycles, trees",Stanley Park 1,"Stanley Park 1, Vancouver, British Columbia / le parc Stanley n.1, Vancouver, Columbie-Britannique",,Walk,Vancouver,CA - BC - STANLEY PARK 1,12,04/05/2022,Isaac,
Canada,BC,Stanley Park 2,"Canada, B.C., Vancouver, Stanley Park, walk, trail, bicycles, trees",Stanley Park 2,"Stanley Park 2, Vancouver, British Columbia / le parc Stanley n.2, Vancouver, Columbie-Britannique",,Walk,Vancouver,CA - BC - STANLEY PARK 2,13,04/05/2022,Isaac,
Canada,BC,UBC Vancouver,"Canada, B.C., Vancouver, UBC, University of British Columbia, Park, walk, gardens, roses, trees, campus, summer",UBC Vancouver,"UBC Vancouver,  British Columbia /Colombie-Britannique",,Walk,Vancouver,CA - BC - UBC VANCOUVER ,,22/09/2022,YiFei,
Canada,BC,Vancouver 1,"Canada, B.C., Vancouver, Park, walk, trail, bicycles, trees, waterfront, summer, boats",Vancouver 1,"Vancouver 1, British Columbia / Vancouver n.1, Colombie-Britannique",,Walk,Vancouver,CA - BC - VANCOUVER 1,30,04/05/2022,Isaac,
Canada,BC,Vancouver 2,"Canada, B.C., Vancouver, Park, walk, trail, bicycles, trees, waterfront, summer, boats, beach",Vancouver 2,"Vancouver 2, British Columbia / Vancouver n.2, Colombie-Britannique",,Walk,Vancouver,CA - BC - VANCOUVER 2,31,04/05/2022,Isaac,
Canada,BC,Vancouver 3 - Capilano,"Canada, B.C., Vancouver, Capilano Suspension Bridge, Park, walk, trail, forest, rainforest,  trees",Vancouver 3 - Capilano,"Capilano Suspension Bridge Park, British Columbia / Colombie-Britannique",,Walk,Vancouver,CA - BC - VANCOUVER 3 CAPILANO,,12/09/2022,YiFei,
Canada,New Brunswick,Atholville Lunch Stop,"Canada, New Brunswick, Athoville Lunch Stop, highway, drive, summer",Atholville,"Atholville Lunch Stop, New Brunswick / Pause déjeuner à Atholville, Nouveau-Brunswick",,Drive,,CA - NB - ATHOLVILLE LUNCH STOP,,04/05/2022,Mark,
Canada,New Brunswick,Campbellton,"Canada, New Brunswick, Campbellton, highway, drive, summer",Campbellton,"Campbellton, New Brunswick / Campbellton, Nouveau-Brunswick",,Drive,,CA - NB - CAMPBELLTON,,04/05/2022,Mark,
Canada,New Brunswick,Country Inn,"Canada, New Brunswick, Country Inn, Little Shemogue, Little Shemogue Harbour, drone, walk, dirt road,  summer, nature, countryside",Country Inn / Auberge,"Country Inn, New Brunswick / Auberge,  Nouveau-Brunswick",,Walk,,CA - NB - COUNTRY INN,drive/walk/drone,19/09/2022,Mark & Ken,
Canada,New Brunswick,Fredericton 1,"Canada, New Brunswick, Fredericton, spring, Bill Thorpe bridge, Carlton St Armoury, 104th Regiment of Foot Bridge, St John River, Christ Church Cathedral, Carlton St Bridge, Lighthouse restaurant",Fredericton 1,"Fredericton 1, New Brunswick / Fredericton n.1, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 1,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 2,"Canada, New Brunswick, Fredericton, spring, Cathedral area, houses, architecture, Christ Church Cathedral",Fredericton 2,"Fredericton 2, New Brunswick / Fredericton n.2, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 2,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 3,"Canada, New Brunswick, Fredericton, Town Plat, spring, houses, architecture",Fredericton 3,"Fredericton 3, New Brunswick / Fredericton n.3, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 3,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 4,"Canada, New Brunswick, Fredericton, Town Plat, spring, houses, architecture, history",Fredericton 4,"Fredericton 4, New Brunswick / Fredericton n.4, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 4,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 5,"Canada, New Brunswick, Fredericton, Queen St., spring, Christ Church Cathedral, architecture, history",Fredericton 5,"Fredericton 5, New Brunswick / Fredericton n.5, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 5,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 6,"Canada, New Brunswick, Fredericton, Queen St., spring, architecture, history",Fredericton 6,"Fredericton 6, New Brunswick / Fredericton n.6, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 6,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 7,"Canada, New Brunswick, Fredericton, Odell Park spring, nature, trees, paths, walk",Fredericton 7,"Fredericton 7 New Brunswick / Fredericton n.7, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 7,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 8,"Canada, New Brunswick, Fredericton, Odell Park spring, nature, trees, paths, walk",Fredericton 8,"Fredericton 8, New Brunswick / Fredericton n.8, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 8,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton 9,"Canada, New Brunswick, Fredericton, Northside Trail, nature, trees, paths, walk",Fredericton 9,"Fredericton 9, New Brunswick / Fredericton n.9, Nouveau-Brunswick",,Walk,Fredericton,CA - NB - FREDERICTON 9,,19/05/2022,Lisa,
Canada,New Brunswick,Fredericton to YCC,"Canada, New Brunswick, Fredericton, Drive to York Care Centre",Fredericton - YCC,"Fredericton, to York Care Centre, New Brunswick / Fredericton, au Centre York Care, Nouveau-Brunswick",,Drive,Fredericton,CA - NB - FREDERICTON TO YCC,,04/05/2022,Mark,
Canada,New Brunswick,Into Sackville,"Canada, New Brunswick, Sackville, Drive",Sackville,"Into Sackville, New Brunswick / Entrée à Sackville, Nouveau-Brunswick",,Drive,,CA - NB - INTO SACKVILLE,,04/05/2022,Mark,
Canada,New Brunswick,Kingsbrae Garden 1,"Canada, New Brunswick, St. Andrews-by-the-Sea, Kingsbrae Garden, flowers, drone, walk, garden",Kingsbrae 1,"Kingsbrae Garden 1, New Brunswick / Le Jardin Kingsbrae n.1, Nouveau-Brunswick",,Drone,,CA - NB - KINGSBRAE GARDEN 1,,04/05/2022,Mark,
Canada,New Brunswick,Kingsbrae Garden 2,"Canada, New Brunswick, St. Andrews-by-the-Sea, Kingsbrae Garden, flowers, drone, walk, garden",Kingsbrae 2,"Kingsbrae Garden 2, New Brunswick / Le Jardin Kingsbrae n.2, Nouveau-Brunswick",,Drone,,CA - NB - KINGSBRAE GARDEN 2,,04/05/2022,Mark,
Canada,New Brunswick,La Dune de Bouctouche,"Canada, New Brunswick, La Dune de Bouctouche, Irving Eco-centre, boardwalk, beach, Atlantic Ocean, summer, walk, drone, swimming",La Dune de Bouctouche,"La Dune de Bouctouche, New Brunswick / Nouveau-Brunswick",,Drone,,CA - NB - BOUCTOUCHE,Drone + walk,16/09/2022,Mark & Ken,
Canada,New Brunswick,New Brunswick,"Canada, New Brunswick",Images: N-B,New Brunswick / Nouveau-Brunswick: Images,,Images,,CA - NB - NEW BRUNSWICK IMAGES,,04/05/2022,David - Flickr Creative Commons,
Canada,New Brunswick,North Near Edmundston,"Canada, New Brunswick, Quebec, Edmundston, highway, drive, countryside",Edmundston Hwy / Autoroute,"Into Quebec, near Edmundston, New Brunswick / Entrée au Québec, nord d'Edmundston, Nouveau-Brunswick",,Drive,,CA - NB - NEAR EDMUNDSTON TO QUEBEC,,04/05/2022,Mark,
Canada,New Brunswick,Provincial Border near Campbellton,"Canada, New Brunswick, Campbellton, highway, drive, countryside, summer","Border, N.B./ Frontière, N.-B.","Provincial Border near Campbellton, New Brunswick / La frontière proviciale près de Campbellton, Nouveau-Brunswick",,Drive,,CA - NB - PROVINCIAL BORDER CAMPBELLTON,,04/05/2022,Mark,
Canada,New Brunswick,South toward Moncton,"Canada, New Brunswick, Moncton, highway, drive, countryside, summer",To Moncton / À Moncton,"South toward Moncton, New Brunswick / Au sud vers Moncton, New Brunswick",,Drive,,CA - NB - SOUTH TOWARD MONCTON,,04/05/2022,Mark,
Canada,New Brunswick,St. Andrews Drive,"Canada, New Brunswick, St. Andrews-by-the-Sea, drive, summer, waterfront",St Andrews,"St Andrews Drive, New Brunswick / St Andrews en auto, Nouveau-Brunswick",New Brunswick,Drive,"Canada, New Brunswick, St. Andrews-by-the-Sea, drive, summer, waterfront",CA - NB - ST ANDREWS DRIVE,,04/05/2022,Mark,
Canada,New Brunswick,St. John Reversing Falls ,"Canada, New Brunswick, St. John, Reversing Falls, Reversing Rapids, Bay of Fundy, drone, drive, summer",Reversing Falls / Chutes Réversibles,"To St John and Reversing Falls, New Brunswick / A Saint Jean et aux Chutes Réversibles, Nouveau-Brunswick",,Drive,,CA - NB - ST JOHN REVERSING FALLS,,04/05/2022,Mark,
Canada,New Brunswick,Through Moncton and South,"Canada, New Brunswick, Moncton, highway, drive","Moncton, south / au sud","Through Moncton and South, New Brunswick / À travers et au sud de Moncton, Nouveau-Brunswick",,Drive,,CA - NB - THROUGH MONCTON AND SOUTH,,04/05/2022,Mark,
Canada,New Brunswick,York Care Centre,York Care Centre,York Care Centre,"York Care Centre / Centre York Care , Fredericton, New Brunswick / Nouveau-Brunswick",,Walk,,CA - NB - YORK CARE CENTRE,This video is just for YCC,,David,
Canada,Nova Scotia,Across the NS Border,"Canada, Nova Scotia, border, highway, drive, countryside, dirt road, farms","Border, N.S./Frontière, N.-É.","Across the border, Nova Scotia / À la frontière, Nouvelle-Écosse ",,Drive,,CA - NS - ACROSS THE BORDER NS,,04/05/2022,Mark,
Canada,Nova Scotia,Cabot Trail 1,"Canada, Nova Scotia, Cape Breton, Cabot Trail, Ingonish, highway, drive, Atlantic Ocean, nature, summer",Cabot Trail 1 / Piste Cabot 1,"Cabot Trail 1, South From Ingonish, Nova Scotia / Piste Cabot n.1, Au sud d'Ingonish, Nouvelle-Écosse",,Drive,,CA - NS - CABOT TRAIL 1,,04/05/2022,Mark,
Canada,Nova Scotia,Cabot Trail 2,"Canada, Nova Scotia, Cape Breton, highway, drive, Atlantic Ocean, nature, summer",Cabot Trail 2 / Piste Cabot 2,"Cabot Trail 2, Northbound to Keltic Lodge, Nova Scotia / Piste Cabot n.2, Au nord à Keltic Lodge, Nouvelle-Écosse",,Drive,,CA - NS - CABOT TRAIL 2,,04/05/2022,Mark,
Canada,Nova Scotia,Canso Causeway,"Canada, Nova Scotia, Canso Causeway, summer, drive, countryside",Canso Causeway / Chausée Canso,"Canso Causeway, Nova Scotia / La Chaussée de Canso, Nouvelle-Écosse",,Drive,,CA - NS - CANSO CAUSEWAY,,04/05/2022,Mark,
Canada,Nova Scotia,Cape Breton Highlands,"Canada, Nova Scotia, Cape Breton Highlands National Park, summer, drive, Atlantic Ocean, nature, mountains",Cape Breton / Cap Breton,"Cape Breton Highlands National Park , Nova Scotia / Parc National des Hautes-Terres-du-Cap-Breton, Nouvelle-Écosse",,Drive,,CA - NS - CAPE BRETON HIGHLANDS NP,,04/05/2022,Mark,
Canada,Nova Scotia,Dartmouth,"Canada, Nova Scotia, Harbour, Atlantic Ocean, Coast, shore, boardwalk, summer, ships, boats, trains, park",Dartmouth N.S. / N-É.,"Dartmouth,  Nova Scotia / Dartmouth, Nouvelle-Écosse",,Walk,,,WALK + DRONE,10/04/2024,Mark & Ken,
Canada,Nova Scotia,Glace Bay Museums,"Canada, Nova Scotia, Glace Bay, Marconi Museum, Miners' Museum, Atlantic Ocean, Coast, shore, drone, summer",Glace Bay,"Glace Bay, Marconi Museum and Miners' Museum, Nova Scotia / Glace Bay, Musée Marconi et Musée des Miniers, Nouvelle-Écosse",,Drive,,CA - NS - GLACE BAY MUSEUMS,,04/05/2022,Mark,
Canada,Nova Scotia,Hwy 30 towards Cheticamp,"Canada, Nova Scotia, Highway 30, Cheticamp, countryside, Gulf of St Lawrence, summer",Hwy/Route 30 Chéticamp,"Highway 30 North toward Chéticamp, Nova Scotia / Route 30 Nord vers Chéticamp, Nouvelle-Écosse",,Drive,,CA - NS - HWY 30 TOWARD CHETICAMP,,04/05/2022,Mark,
Canada,Nova Scotia,Into Truro,"Canada, Nova Scotia, Truro, countryside, drive ",Into / Entrée à Truro,"Into Truro, Nova Scotia / Entrée à Truro, Nouvelle-Écosse",,Drive,,CA - NS - INTO TRURO,,04/05/2022,Mark,
Canada,Nova Scotia,Middlehead Trail,"Canada, Nova Scotia, Cape Breton National Park, trail, walk, hike, summer, Atlantic Ocean, nature,",Piste Middlehead Trail,"Middlehead Trail near Ingonish, Nova Scotia / Le Sentier Middlehead près d' Ingonish, Nouvelle-Écosse",,Walk,,CA - NS - MIDDLEHEAD TRAIL,,04/05/2022,Mark,
Canada,Nova Scotia,"North Central Trans-Canada Highway, NS","Canada, Nova Scotia, Trans-Canada Highway, countryside, drive ",Highway N.S. / Autoroute N.-É.,"North Central Trans Canada Highway, Nova Scotia / Autoroute transcanadienne au centre nord, Nouvelle-Écosse",,Drive,,CA - NS - NORTH CENTRAL TRANS-CANADA,,04/05/2022,Mark,
Canada,Nova Scotia,Past Beddeck,"Canada, Nova Scotia, Highway 105, Baddeck, countryside, drive, Bras D'or Lake",Baddeck: North of / au nord de,"Past Baddeck, Northbound, Nova Scotia / Au nord de Baddeck, Nouvelle-Écosse",,Drive,,CA - NS - PAST BADDECK NORTHBOUND,,04/05/2022,Mark,
Canada,Nova Scotia,Seal Island Bridge,"Canada, Nova Scotia, Highway 105, Seal Island Bridge, countryside, drive, drone",Pont / Seal Island / Bridge ,"North across Seal Island Bridge, Nova Scotia / Au nord sur le pont Seal Island, Nouvelle-Écosse",,Drive,,CA - NS - SEAL ISLAND BRIDGE,,04/05/2022,Mark,
Canada,Nova Scotia,Skyline Trail,"Canada, Nova Scotia, Skyline Trail, Cape Breton Highlands National Park, hike, nature, forest, drone",Skyline Trail / Sentier Skyline,"Skyline Trail, Cape Breton Highlands National Park, Nova Scotia / Le Sentier Skyline, Parc National des Hautes-Terres-du-Cap-Breton, Nouvelle-Écosse",,Walk,,CA - NS - SKYLINE TRAIL,,04/05/2022,Mark,
Canada,Nova Scotia,Sydney to Glace Bay,"Canada, Nova Scotia, Sydney, drive, summer, countryside",Sydney - Glace Bay,"Sydney to Glace Bay, Nova Scotia / De Sydney à Glace Bay, Nouvelle-Écosse",,Drive,,CA - NS - SYDNEY TO GLACE BAY,,04/05/2022,Mark,
Canada,Nova Scotia,To Baddeck and the Bell Museum,"Canada, Nova Scotia, Highway 105, Baddeck, countryside, drive, Bras D'or Lake",Bell Museum / Musée Bell,"To Baddeck and the Bell Museum, Nova Scotia / À Baddeck et au Musée Bell, Nouvelle-Écosse",,Drive,,CA - NS - TO BADDECK & BELL MUSEUM,,04/05/2022,Mark,
Canada,Nova Scotia,Toward Margaree,"Canada, Nova Scotia, Margaree, Highway 30, countryside, drive",Cabot Trail à/to Margaree,"To Margaree on the Cabot Trail, Nova Scotia / À Margaree sur le Sentier Cabot, Nouvelle-Écosse",,Drive,,CA - NS - TOWARD MARGAREE,,04/05/2022,Mark,
Canada,Nova Scotia,Toward Truro,"Canada, Nova Scotia, Highway 4, countryside, drive ",Towards / Vers Truro,"Toward Truro, Nova Scotia / Du coté de Truro, Nouvelle-Écosse",,Drive,,CA - NS - TOWARD TRURO,,04/05/2022,Mark,
Canada,Nova Scotia,Uisge Ban Falls Trail,"Canada, Nova Scotia, forest, hike, trail, nature, trees",Uisge Ban Falls,"Uisge Ban Falls Trail, Nova Scotia / Balade aux Uisge Ban Falls, Nouvelle-Écosse",,Walk,,CA - NS - UISGE BAN FALLS TRAIL,,04/05/2022,Mark,
Canada,Nova Scotia,Whycocomagh Bay,"Canada, Nova Scotia, Highway 105, Whycocomagh Bay, countryside, drive, Bras D'or Lake",Whycocomagh ,"Along Whycocomagh Bay, Nova Scotia / Le long de la Baie Whycocomagh, Nouvelle-Écosse",,Drive,,CA - NS - WHYCOCOMAGH BAY,,04/05/2022,Mark,
Canada,ON & NB,Highway Rock Cuts,"Canada, New Brunswick, Ontario, Highways, Rocks",Canada: Highways / Autoroutes,"Highways, Rocks and Trees, Autoroutes, Rochers et Arbres",,Drive,,CA - ONNB - HIGHWAYS ROCKS & TREES,,04/05/2022,David,
Canada,Ontario,3 Crazy Houses,"Canada, Ontario, Art, sculpture, decoration, houses",Crazy Houses / Maisons Folles,"3 Crazy Houses / 3 Maisons Folles, Ontario",,Walk,,,,07/07/2023,David,
Canada,Ontario,Abbey Gardens,"Canada, Ontario, Haliburton, Garden, farm, flowers, pond, summer",Abbey Gardens,"Abbey Gardens, Haliburton, Ontario",,Walk,,CA - ON - ABBEY GARDENS,,23/11/2023,David,
Canada,Ontario,After a Blizzard 1,"Canada, Ontario, Toronto, Snow, winter, city streets","Snow / La neige 1, Toronto","After a Blizzard 1, Toronto / Après une têmpete n.1, Toronto",,Walk,Toronto,CA - ON - TO - AFTER A BLIZZARD 1,,04/05/2022,David,
Canada,Ontario,After a Blizzard 2,"Canada, Ontario, Toronto, Snow, winter, city streets","Snow / La neige 2, Toronto","After a Blizzard 2, Toronto / Après une têmpete n.2, Toronto",,Walk,Toronto,CA - ON - TO - AFTER A BLIZZARD 2,,04/05/2022,David,
Canada,Ontario,Afternoon in Niagara Falls,"Canada, Ontario, Niagara Falls",Niagara Falls,"Afternoon in Niagara Falls, Ontario / Après-midi à Niagara Falls, Ontario",,Walk,Niagara Falls,CA - ON - NIAGARA FALLS,,16/03/2023,David,
Canada,Ontario,Algonquin Drive 1,"Canada, Ontario, Algonquin Park, Drive, trees, nature",Algonquin 1,"Highway 60, Algonquin Provincial Park 1 / Route 60 au Parc Provincial Algonquin n.1, Ontario",,Drive,,CA - ON - ALGONQUIN DRIVE 1,,04/05/2022,Juhie,
Canada,Ontario,Algonquin Drive 2,"Canada, Ontario, Algonquin Park, Drive, trees, nature",Algonquin 2,"Highway 60, Algonquin Provincial Park 2 / Route 60 au Parc Provincial Algonquin n.2, Ontario",,Drive,,CA - ON - ALGONQUIN DRIVE 2,,04/05/2022,Juhie,
Canada,Ontario,Algonquin Drive 3,"Canada, Ontario, Algonquin Park, Drive, trees, nature",Algonquin 3,"Highway 60, Algonquin Provincial Park 3 / Route 60 au Parc Provincial Algonquin n.3, Ontario",,Drive,,CA - ON - ALGONQUIN DRIVE 3,,04/05/2022,Juhie,
Canada,Ontario,Amusement Park North Bay,"Canada, Ontario, North Bay, Amusement Park, carnival, rides, children",Amusement Park / Parc d'attractions,"Amusement Park / Parc d'attractions , North Bay, Ontario",,Walk,North Bay,CA - ON - AMUSEMENT PARK NORTH BAY,,19/09/2022,David,
Canada,Ontario,Arnprior,"Canada, Ontario, Arnprior, walk, small town, main street, trees, nature, Ottawa River, history, architecture, farmers market","Arnprior, Ontario","Arnprior, Ontario",Walk,Walk,Arnprior,CA - ON - ARNPRIOR,,02/08/2022,David,
Canada,Ontario,At the Ballgame,"Canada, Ontario, Toronto,  Sports, baseball, Toronto Bluejays",Baseball Game / Match,"At the Ballgame, Toronto / Au Match de Baseball, Toronto",,Walk,Toronto,CA - ON - TO - AT THE BALLGAME,,09/09/2022,David,
Canada,Ontario,At the Cottage,"Canada, Ontario, cottage, countryside, woods, forest, river, canoe",At the Cottage / Au Chalet,"At the Cottage, Near Arnprior Ontario / Au Chalet, Près d'Arnprior Ontario",,Walk,Toronto,CA - ON - TO - AT THE COTTAGE,,15/09/2022,David,
Canada,Ontario,Autumn Bike Ride,"Canada, Ontario, Toronto, autumn, fall, trees, nature, Bike, residential streets",Toronto by bike/à vélo,"Autumn Bike Ride, Toronto / À vélo en automne, Toronto",,Bike,Toronto,CA - ON - TO - AUTUMN BIKE RIDE,,04/05/2022,David,
Canada,Ontario,Autumn by the Water,"Canada, Ontario, Toronto, autumn, fall, trees, nature, Waterfront, pond, walk",By the water/au bord de l'eau TO,"Autumn by the Water, Toronto / L'automne au bord de l'eau, Toronto",,Bike,Toronto,CA - ON - TO - FALL BY THE WATER,,04/05/2022,David,
Canada,Ontario,Autumn in High Park 1,"Canada, Ontario, Toronto, High Park, autumn, fall, trees, nature",High Park 1,"Autumn in High Park 1, Toronto / L'automne à High Park n.1, Toronto",,Bike,Toronto,CA - ON - TO - AUTUMN IN HIGH PARK 1,,04/05/2022,David,
Canada,Ontario,Autumn in High Park 2,"Canada, Ontario, Toronto, High Park, autumn, fall, trees, nature",High Park 2,"Autumn in High Park 2, Toronto / L'automne à High Park n.2, Toronto",,Bike,Toronto,CA - ON - TO - AUTUMN IN HIGH PARK 2,,04/05/2022,David,
Canada,Ontario,Bailieboro Fall Drive,"Canada, Ontario, Drive, Baillieboro, countryside, dirt roads",Bailieboro,Bailieboro Fall Drive /Sûr la route près de Bailieboro,,Drive,,CA - ON - BAILIEBORO FALL DRIVE,,04/05/2022,David/Lisa,
Canada,Ontario,Ball's Falls ,"Canada, Ontario, Ball's Falls, Niagara, trail, hike, autumn, fall, nature, waterfall, river, rocks",Ball's Falls ,"Ball's Falls Hike, Ontario / Randonnée à Ball's Falls, Ontario",,Walk,,CA - ON - BALL'S FALLS ,,10/03/2023,David,
Canada,Ontario,Ball's Falls 2,"Canada, Ontario, Ball's Falls, Trail, Niagara, autumn, fall, nature, hike, river",Ball's Falls 2,"Ball's Falls 2, Ontario / Randonnée à Ball's Falls n.2, Ontario",,Walk,,CA - ON - BALL'S FALLS 2,,10/03/2023,David,
